site_id,month_year,actual_kwh,expected_kwh,performance_ratio,deviation_kwh,deviation_pct,year,month,quarter,month_sin,month_cos,is_summer,is_winter,is_spring,is_autumn,lag_1m,lag_3m,lag_6m,lag_12m,roll_avg_3m,expected_roll_3m,roll_avg_6m,expected_roll_6m,roll_avg_12m,expected_roll_12m,yoy_growth,is_anomaly,has_actual,total_historical_alerts,critical_alerts,medium_alerts,low_alerts,open_alerts,max_impact,avg_impact,inverter_fault_count,string_fault_count,communication_fault_count,grid_fault_count,optimizer_fault_count,module_fault_count,freezing_count,dc_isolation_count,has_critical_alert,alert_types_list
Site_023,2016-12-01,0.0,1615.0,0.0,-1615.0,-100.0,2016,12,4,-2.4492935982947064e-16,1.0,0,1,0,0,0.0,0.0,1395.0,,0.0,2314.0,232.5,2868.1666666666665,635.7272727272727,2802.2727272727275,,1.0,0,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-01-01,0.0,1953.0,0.0,-1953.0,-100.0,2017,1,1,0.4999999999999999,0.8660254037844387,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1880.3333333333333,0.0,2582.0,582.75,2703.333333333333,,1.0,0,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-02-01,0.0,2256.0,0.0,-2256.0,-100.0,2017,2,1,0.8660254037844386,0.5000000000000001,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1771.0,0.0,2306.333333333333,582.75,2702.5,,1.0,0,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-03-01,0.0,2892.0,0.0,-2892.0,-100.0,2017,3,1,1.0,6.123233995736766e-17,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1941.3333333333333,0.0,2127.6666666666665,582.75,2701.5,,1.0,0,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-04-01,1091.0,3066.0,0.3558382257012394,-1975.0,-64.41617742987606,2017,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,0,0.0,0.0,0.0,1996.0,0.0,2367.0,0.0,2123.6666666666665,582.75,2700.25,-0.4534068136272545,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-05-01,1547.0,3380.0,0.4576923076923077,-1833.0,-54.230769230769226,2017,5,2,0.4999999999999999,-0.8660254037844387,0,0,1,0,1091.0,0.0,0.0,3602.0,363.6666666666667,2738.0,181.8333333333333,2254.5,507.3333333333333,2698.9166666666665,-0.570516379789006,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-06-01,1095.0,3315.0,0.3303167420814479,-2220.0,-66.9683257918552,2017,6,2,1.2246467991473532e-16,-1.0,1,0,0,0,1547.0,0.0,0.0,1395.0,879.3333333333334,3112.6666666666665,439.6666666666667,2527.0,336.0833333333333,2697.583333333333,-0.2150537634408602,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-07-01,597.0,3589.0,0.16634159933129,-2992.0,-83.365840066871,2017,7,3,-0.4999999999999997,-0.8660254037844388,1,0,0,0,1095.0,1091.0,0.0,0.0,1244.3333333333333,3253.6666666666665,622.1666666666666,2810.333333333333,311.0833333333333,2696.1666666666665,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-08-01,1813.0,3312.0,0.5474033816425121,-1499.0,-45.2596618357488,2017,8,3,-0.8660254037844384,-0.5000000000000004,1,0,0,0,597.0,1547.0,0.0,0.0,1079.6666666666667,3428.0,721.6666666666666,3083.0,360.8333333333333,2694.6666666666665,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-09-01,1430.0,2902.0,0.49276361130255,-1472.0,-50.723638869745,2017,9,3,-1.0,-1.8369701987210292e-16,0,0,0,1,1813.0,1095.0,0.0,0.0,1168.3333333333333,3405.333333333333,1023.8333333333334,3259.0,511.9166666666667,2693.333333333333,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
